Scientific Name,Status
Ageratina altissima,Only in Natuurpunt
Ageratum houstonianum,Only in Natuurpunt
Aglais urticae,Only in Natuurpunt
Aglaoapis tridentata,Only in Natuurpunt
Aglaophenia pluma,Only in Natuurpunt
Aglaospora profusa,Only in Natuurpunt
Aglaostigma aucupariae,Only in Natuurpunt
Aglaostigma fulvipes,Only in Natuurpunt
Aglaostigma lichtwardti,Only in Natuurpunt
Aglaothamnion scopulorum,Only in Natuurpunt
Aglia tau,Only in Natuurpunt
Aglossa caprealis,Only in Natuurpunt
Aglossa pinguinalis,Only in Natuurpunt
Agnathosia mendicella,Only in Natuurpunt
Agnocoris reclairei,Only in Natuurpunt
Agonimia tristicula,Only in Natuurpunt
Agonopterix alstromeriana,Only in Natuurpunt
Agonopterix angelicella,Only in Natuurpunt
Agonopterix arenella,Only in Natuurpunt
Agonopterix assimilella,Only in Natuurpunt
Agonopterix astrantiae,Only in Natuurpunt
Agonopterix ciliella,Only in Natuurpunt
Agonopterix cnicella,Only in Natuurpunt
Agonopterix conterminella,Only in Natuurpunt
Agonopterix curvipunctosa,Only in Natuurpunt
Agonopterix heracliana,Only in Natuurpunt
Agonopterix kaekeritziana,Only in Natuurpunt
Agonopterix liturosa,Only in Natuurpunt
Agonopterix nanatella,Only in Natuurpunt
Agonopterix nervosa,Only in Natuurpunt
Agonopterix ocellana,Only in Natuurpunt
Agonopterix pallorella,Only in Natuurpunt
Agonopterix propinquella,Only in Natuurpunt
Agonopterix purpurea,Only in Natuurpunt
Agonopterix scopariella,Only in Natuurpunt
Agonopterix senecionis,Only in Natuurpunt
Agonopterix subpropinquella,Only in Natuurpunt
Agonopterix yeatiana,Only in Natuurpunt
Agonoscena succincta,Only in Natuurpunt
Agonum emarginatum,Only in Natuurpunt
Agonum fuliginosum,Only in Natuurpunt
Agonum gracile,Only in Natuurpunt
Agonum marginatum,Only in Natuurpunt
Agonum muelleri,Only in Natuurpunt
Agonum sexpunctatum,Only in Natuurpunt
Agonum thoreyi,Only in Natuurpunt
Agonum viduum,Only in Natuurpunt
Agonum viridicupreum,Only in Natuurpunt
Agonus cataphractus,Only in Natuurpunt
Agramma laetum,Only in Natuurpunt
Agraylea multipunctata,Only in Natuurpunt
Agraylea sexmaculata,Only in Natuurpunt
Agrilus ater,Only in Natuurpunt
Agrilus betuleti,Only in Natuurpunt
Agrilus biguttatus,Only in Natuurpunt
Agrilus cyanescens,Only in Natuurpunt
Agrilus guerini,Only in Natuurpunt
Agrilus pratensis,Only in Natuurpunt
Agrilus sulcicollis,Only in Natuurpunt
Agrilus viridis,Only in Natuurpunt
Agrimonia procera,Only in Natuurpunt
Agrimonia repens,Only in Natuurpunt
Agriopis aurantiaria,Only in Natuurpunt
Agriopis bajaria,Only in Natuurpunt
Agriopis leucophaearia,Only in Natuurpunt
Agriopis marginaria,Only in Natuurpunt
Agriotes acuminatus,Only in Natuurpunt
Agriotes lineatus,Only in Natuurpunt
Agriotes obscurus,Only in Natuurpunt
Agriotes pallidulus,Only in Natuurpunt
Agriotes pilosellus,Only in Natuurpunt
Agriotes sputator,Only in Natuurpunt
Agriphila deliella,Only in Natuurpunt
Agriphila geniculea,Only in Natuurpunt
Agriphila inquinatella,Only in Natuurpunt
Agriphila latistria,Only in Natuurpunt
Agriphila selasella,Only in Natuurpunt
Agriphila straminella,Only in Natuurpunt
Agriphila tristella,Only in Natuurpunt
Agrius convolvuli,Only in Natuurpunt
